quadra;lote;status;valor;observacao;atualizado_em
18;36;nao_informado;;;
18;37;nao_informado;;;
18;38;nao_informado;;;
18;39;nao_informado;;;
18;40;nao_informado;;;
18;41;nao_informado;;;
18;42;nao_informado;;;
18;43;nao_informado;;;
18;44;nao_informado;;;
18;45;nao_informado;;;
20;1;nao_informado;;;
20;2;nao_informado;;;
20;3;nao_informado;;;
20;4;nao_informado;;;
20;5;nao_informado;;;
20;6;nao_informado;;;
20;7;nao_informado;;;
20;8;nao_informado;;;
20;9;nao_informado;;;
20;10;nao_informado;;;
20;11;nao_informado;;;
20;12;nao_informado;;;
20;13;nao_informado;;;
20;14;nao_informado;;;
20;15;nao_informado;;;
20;16;nao_informado;;;
20;17;nao_informado;;;
20;18;nao_informado;;;
20;19;nao_informado;;;
20;20;nao_informado;;;
20;21;nao_informado;;;
20;22;nao_informado;;;
21;1;nao_informado;;;
21;2;nao_informado;;;
21;3;nao_informado;;;
21;4;nao_informado;;;
21;5;nao_informado;;;
21;6;nao_informado;;;
21;7;nao_informado;;;
21;8;nao_informado;;;
21;9;nao_informado;;;
21;10;nao_informado;;;
21;11;nao_informado;;;
21;12;nao_informado;;;
21;13;nao_informado;;;
21;14;nao_informado;;;
21;15;nao_informado;;;
21;16;nao_informado;;;
21;17;nao_informado;;;
21;18;nao_informado;;;
21;19;nao_informado;;;
21;20;nao_informado;;;
21;21;nao_informado;;;
21;22;nao_informado;;;
21;23;nao_informado;;;
21;24;nao_informado;;;
21;25;nao_informado;;;
22;1;nao_informado;;;
22;2;nao_informado;;;
22;3;nao_informado;;;
22;4;nao_informado;;;
22;5;nao_informado;;;
22;6;nao_informado;;;
22;7;nao_informado;;;
22;8;nao_informado;;;
22;9;nao_informado;;;
22;10;nao_informado;;;
22;11;nao_informado;;;
22;12;nao_informado;;;
22;13;nao_informado;;;
22;14;nao_informado;;;
22;15;nao_informado;;;
22;16;nao_informado;;;
22;17;nao_informado;;;
23;1;nao_informado;;;
23;2;nao_informado;;;
23;3;nao_informado;;;
23;4;nao_informado;;;
23;5;nao_informado;;;
23;6;nao_informado;;;
23;7;nao_informado;;;
23;8;nao_informado;;;
23;9;nao_informado;;;
23;10;nao_informado;;;
23;11;nao_informado;;;
23;12;nao_informado;;;
23;13;nao_informado;;;
24;1;nao_informado;;;
24;2;nao_informado;;;
24;3;nao_informado;;;
24;4;nao_informado;;;
24;5;nao_informado;;;
24;6;nao_informado;;;
24;7;nao_informado;;;
24;8;nao_informado;;;
24;9;nao_informado;;;
24;10;nao_informado;;;
24;11;nao_informado;;;
24;12;nao_informado;;;
24;13;nao_informado;;;
24;14;nao_informado;;;
